Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name,Curation Report
4,HA,CY003400,Yes,1748,H1N1,3-2-2001,IRD:Human,USA,New York,00-01,A/New York/306/2001,Pass
4,HA,CY003392,Yes,1727,H1N1,7-2-2001,IRD:Human,USA,New York,00-01,A/New York/305/2001,Pass
4,HA,CY002800,Yes,1748,H1N1,12-2-2001,IRD:Human,USA,New York,00-01,A/New York/308/2001,Pass
4,HA,CY003480,Yes,1748,H1N1,02/21/2001,IRD:Human,USA,New York,00-01,A/New York/446/2001,Pass
4,HA,CY002568,Yes,1763,H1N1,02/21/2001,IRD:Human,USA,New York,00-01,A/New York/281/2001,Pass
4,HA,CY002616,No,1754,H1N1,02/27/2001,IRD:Human,USA,New York,00-01,A/New York/208/2001,Pass
4,HA,CY006171,No,1748,H1N1,02/28/2001,IRD:Human,USA,New York,00-01,A/New York/447/2001,Pass
4,HA,CY006675,Yes,1734,H1N1,5-12-2002,IRD:Human,USA,New York,02-Mar,A/New York/494/2002,Pass
4,HA,CY003304,No,1755,H1N1,12/21/2002,IRD:Human,USA,New York,02-Mar,A/New York/291/2002,Flag-NCR
4,HA,CY002528,Yes,1754,H1N1,12/26/2002,IRD:Human,USA,New York,02-Mar,A/New York/220/2002,Pass
4,HA,CY019341,Yes,1736,H1N1,12-1-2003,IRD:Human,USA,Tennessee,-N/A-,A/Memphis/6/2003,Pass
4,HA,CY019883,Yes,1731,H1N1,12-1-2003,IRD:Human,USA,Tennessee,-N/A-,A/Memphis/5/2003,Pass
4,HA,CY002680,Yes,1748,H1N1,12-1-2003,IRD:Human,USA,New York,02-Mar,A/New York/222/2003,Pass
4,HA,CY002688,Yes,1771,H1N1,01/15/2003,IRD:Human,USA,New York,02-Mar,A/New York/223/2003,Pass
4,HA,CY008996,Yes,1727,H1N1,01/20/2003,IRD:Human,USA,New York,02-Mar,A/New York/484/2003,Pass
4,HA,CY003688,Yes,1729,H1N1,01/21/2003,IRD:Human,USA,New York,02-Mar,A/New York/486/2003,Pass
4,HA,CY002808,Yes,1775,H1N1,01/22/2003,IRD:Human,USA,New York,02-Mar,A/New York/399/2003,Pass
4,HA,CY006915,No,1748,H1N1,01/23/2003,IRD:Human,USA,New York,02-Mar,A/New York/488/2003,Pass
4,HA,CY016323,No,1743,H1N1,01/23/2003,IRD:Human,USA,Michigan,02-Mar,A/Michigan/1/2003,Pass
4,HA,CY002624,Yes,1775,H1N1,01/27/2003,IRD:Human,USA,New York,02-Mar,A/New York/230/2003,Pass
4,HA,CY003384,Yes,1751,H1N1,01/28/2003,IRD:Human,USA,New York,02-Mar,A/New York/293/2003,Pass
4,HA,CY016328,No,1743,H1N1,01/31/2003,IRD:Human,USA,Michigan,02-Mar,A/Michigan/5/2003,Pass
4,HA,CY016327,No,1743,H1N1,1-2-2003,IRD:Human,USA,Michigan,02-Mar,A/Michigan/4/2003,Pass
4,HA,CY016329,No,1743,H1N1,2-2-2003,IRD:Human,USA,Michigan,02-Mar,A/Michigan/6/2003,Pass
4,HA,CY006667,Yes,1748,H1N1,12-2-2003,IRD:Human,USA,New York,02-Mar,A/New York/493/2003,Pass
4,HA,CY003704,Yes,1748,H1N1,02/25/2003,IRD:Human,USA,New York,02-Mar,A/New York/496/2003,Pass
4,HA,CY006195,No,1748,H1N1,02/26/2003,IRD:Human,USA,New York,02-Mar,A/New York/497/2003,Pass
4,HA,CY002704,Yes,1727,H1N1,02/28/2003,IRD:Human,USA,New York,02-Mar,A/New York/348/2003,Pass
4,HA,CY003376,Yes,1748,H1N1,5-3-2003,IRD:Human,USA,New York,02-Mar,A/New York/292/2003,Pass
4,HA,CY002984,No,1749,H1N1,03/21/2003,IRD:Human,USA,New York,02-Mar,A/New York/221/2003,Pass
4,HA,CY125196,Yes,1743,H1N1,03/21/2006,IRD:Human,Canada,-N/A-,-N/A-,A/Canada/591/2004,Pass
4,HA,DQ889689,Yes,1701,H1N1,03/21/2006,IRD:Human,USA,Iowa,-N/A-,A/Iowa/CEID23/2005,Pass
4,HA,EU516024,No,1698,H1N1,03/21/2006,IRD:Human,USA,Ohio,05-Jun,A/Ohio/04/2006,Pass
4,HA,CY172535,Yes,1747,H1N1,03/28/2006,IRD:Human,USA,New York,05-Jun,A/New York/1049/2006,Pass
4,HA,CY017371,No,1746,H1N1,10-4-2006,IRD:Human,USA,New York,05-Jun,A/New York/8/2006,Pass
4,HA,EU516297,No,1698,H1N1,10/31/2006,IRD:Human,USA,Florida,06-Jul,A/Florida/3/2006,Pass
4,HA,EU199303,No,1698,H1N1,11/20/2006,IRD:Human,USA,Pennsylvania,06-Jul,A/Pennsylvania/08/2006,Pass
4,HA,CY028195,Yes,1743,H1N1,6-12-2006,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0007/2006,Pass
4,HA,EU716569,No,1698,H1N1,6-12-2006,IRD:Human,USA,California,06-Jul,A/California/10/2006,Pass
4,HA,EU100711,No,1698,H1N1,9-12-2006,IRD:Human,USA,Wisconsin,06-Jul,A/Wisconsin/24/2006,Pass
4,HA,EU199308,No,1698,H1N1,11-12-2006,IRD:Human,USA,Illinois,06-Jul,A/Illinois/01/2006,Pass
4,HA,CY172543,Yes,1730,H1N1,11-12-2006,IRD:Human,USA,New York,06-Jul,A/New York/1050/2006,Pass
4,HA,EU199333,No,1698,H1N1,12/13/2006,IRD:Human,USA,New York,06-Jul,A/New York/26/2006,Pass
4,HA,CY172551,Yes,1730,H1N1,12/13/2006,IRD:Human,USA,New York,06-Jul,A/New York/1051/2006,Pass
4,HA,EU100704,No,1698,H1N1,12/14/2006,IRD:Human,USA,Florida,06-Jul,A/Florida/09/2006,Pass
4,HA,EU199348,No,1698,H1N1,12/14/2006,IRD:Human,USA,California,06-Jul,A/California/09/2006,Pass
4,HA,CY172559,Yes,1751,H1N1,12/17/2006,IRD:Human,USA,New York,06-Jul,A/New York/1052/2006,Pass
4,HA,EU199341,No,1698,H1N1,12/18/2006,IRD:Human,USA,Mississippi,06-Jul,A/Mississippi/02/2006,Pass
4,HA,CY025229,Yes,1728,H1N1,12/18/2006,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0010/2006,Pass
4,HA,CY027147,Yes,1726,H1N1,12/18/2006,IRD:Human,USA,North Carolina,06-Jul,A/North Carolina/UR06-0011/2006,Pass
4,HA,EU100703,No,1698,H1N1,12/19/2006,IRD:Human,USA,Florida,06-Jul,A/Florida/08/2006,Pass
4,HA,EU100712,No,1698,H1N1,12/19/2006,IRD:Human,USA,Wisconsin,06-Jul,A/Wisconsin/37/2006,Pass
4,HA,CY025213,Yes,1742,H1N1,12/20/2006,IRD:Human,USA,Texas,06-Jul,A/Texas/UR06-0012/2006,Pass
4,HA,CY172567,Yes,1751,H1N1,12/27/2006,IRD:Human,USA,New York,06-Jul,A/New York/1053/2006,Pass
4,HA,EU516022,No,1698,H1N1,12/28/2006,IRD:Human,USA,Ohio,06-Jul,A/Ohio/05/2006,Pass
4,HA,CY025221,Yes,1744,H1N1,12/28/2006,IRD:Human,USA,Michigan,06-Jul,A/Michigan/UR06-0015/2006,Pass
4,HA,CY027875,Yes,1726,H1N1,12/28/2006,IRD:Human,USA,Mississippi,06-Jul,A/Mississippi/UR06-0014/2006,Pass
4,HA,EU100709,No,1698,H1N1,12/28/2006,IRD:Human,USA,North Carolina,06-Jul,A/North Carolina/10/2006,Pass
4,HA,EU199309,No,1698,H1N1,12/29/2006,IRD:Human,USA,Wisconsin,06-Jul,A/Wisconsin/49/2006,Pass
4,HA,EU100706,No,1698,H1N1,12/29/2006,IRD:Human,USA,Iowa,06-Jul,A/Iowa/02/2006,Pass
4,HA,EU100707,No,1698,H1N1,12/29/2006,IRD:Human,USA,Minnesota,06-Jul,A/Minnesota/17/2006,Pass
4,HA,EU100708,No,1698,H1N1,12/31/2006,IRD:Human,USA,New Mexico,06-Jul,A/New Mexico/02/2006,Pass
4,HA,EU516142,No,1698,H1N1,4-1-2007,IRD:Human,USA,Idaho,-N/A-,A/Idaho/06/2007,Pass
4,HA,CY058495,Yes,1743,H1N1,4-1-2007,IRD:Human,USA,New Jersey,-N/A-,A/New Jersey/15/2007(H1N1),Pass
4,HA,CY121592,Yes,1750,H1N1,4-1-2007,IRD:Human,USA,South Dakota,-N/A-,A/South Dakota/06/2007,Pass
4,HA,EU716621,No,1728,H1N1,4-1-2007,IRD:Human,USA,Florida,-N/A-,A/Florida/19/2007,Pass
4,HA,CY025245,Yes,1744,H1N1,4-1-2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR006-018/2007,Pass
4,HA,CY172575,Yes,1751,H1N1,4-1-2007,IRD:Human,USA,New York,06-Jul,A/New York/1054/2007,Pass
4,HA,CY025237,Yes,1728,H1N1,5-1-2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0019/2007,Pass
4,HA,CY172583,Yes,1730,H1N1,6-1-2007,IRD:Human,USA,New York,06-Jul,A/New York/1055/2007,Pass
4,HA,CY026691,Yes,1726,H1N1,6-1-2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0224/2007,Pass
4,HA,CY172703,Yes,1751,H1N1,10-1-2007,IRD:Human,USA,New York,06-Jul,A/New York/1073/2007,Pass
4,HA,CY028323,Yes,1743,H1N1,11-1-2007,IRD:Human,USA,Texas,06-Jul,A/Texas/UR06-0026/2007,Pass
4,HA,CY025365,Yes,1714,H1N1,11-1-2007,IRD:Human,USA,Texas,06-Jul,A/Texas/UR06-0025/2007,Pass
4,HA,CY026219,Yes,1749,H1N1,12-1-2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0028/2007,Pass
4,HA,CY026651,Yes,1744,H1N1,12-1-2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0027/2007,Pass
4,HA,CY027219,No,1744,H1N1,12-1-2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0029/2007,Pass
4,HA,EU716572,No,1698,H1N1,01/13/2007,IRD:Human,USA,California,06-Jul,A/California/26/2007,Pass
4,HA,CY025787,Yes,1747,H1N1,01/15/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0033/2007,Pass
4,HA,CY027803,Yes,1721,H1N1,01/16/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0032/2007,Pass
4,HA,CY026683,Yes,1741,H1N1,01/16/2007,IRD:Human,USA,Vermont,06-Jul,A/Vermont/UR06-0035/2007,Pass
4,HA,CY027811,Yes,1722,H1N1,01/16/2007,IRD:Human,USA,Texas,06-Jul,A/Texas/UR06-0039/2007,Pass
4,HA,CY025923,Yes,1698,H1N1,01/16/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0034/2007,Pass
4,HA,CY028291,Yes,1698,H1N1,01/16/2007,IRD:Human,USA,Texas,06-Jul,A/Texas/UR06-0038/2007,Pass
4,HA,CY025493,Yes,1732,H1N1,01/18/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0042/2007,Pass
4,HA,CY025699,Yes,1742,H1N1,01/18/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0043/2007,Pass
4,HA,CY026699,Yes,1725,H1N1,01/18/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0045/2007,Pass
4,HA,CY028035,Yes,1725,H1N1,01/19/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0046/2007,Pass
4,HA,CY027771,Yes,1743,H1N1,01/22/2007,IRD:Human,USA,Oklahoma,06-Jul,A/Oklahoma/UR06-0063/2007,Pass
4,HA,CY025803,Yes,1724,H1N1,01/22/2007,IRD:Human,USA,Mississippi,06-Jul,A/Mississippi/UR06-0048/2007,Pass
4,HA,CY028203,Yes,1732,H1N1,01/22/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0055/2007,Pass
4,HA,CY025811,Yes,1737,H1N1,01/22/2007,IRD:Human,USA,Vermont,06-Jul,A/Vermont/UR06-0051/2007,Pass
4,HA,CY026739,Yes,1744,H1N1,01/22/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0061/2007,Pass
4,HA,CY027203,Yes,1743,H1N1,01/22/2007,IRD:Human,USA,Mississippi,06-Jul,A/Mississippi/UR06-0047/2007,Pass
4,HA,CY026523,Yes,1743,H1N1,01/22/2007,IRD:Human,USA,Colorado,06-Jul,A/Colorado/UR06-0053/2007,Pass
4,HA,CY025301,Yes,1742,H1N1,01/22/2007,IRD:Human,USA,Vermont,06-Jul,A/Vermont/UR06-0050/2007,Pass
4,HA,CY027099,Yes,1728,H1N1,01/22/2007,IRD:Human,USA,Florida,06-Jul,A/Florida/UR06-0049/2007,Pass
4,HA,CY025261,Yes,1743,H1N1,01/23/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0059/2007,Pass
4,HA,CY026379,No,1745,H1N1,01/23/2007,IRD:Human,USA,New York,06-Jul,A/New York/UR06-0056/2007,Pass
4,HA,CY026515,Yes,1743,H1N1,01/23/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0057/2007,Pass
4,HA,CY026803,Yes,1744,H1N1,01/23/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0058/2007,Pass
4,HA,CY025453,Yes,1741,H1N1,01/23/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0062/2007,Pass
4,HA,EU199349,No,1698,H1N1,01/23/2007,IRD:Human,USA,California,06-Jul,A/California/03/2007,Pass
4,HA,EU516143,No,1698,H1N1,01/23/2007,IRD:Human,USA,New Jersey,06-Jul,A/New Jersey/09/2007,Pass
4,HA,CY027739,Yes,1741,H1N1,01/24/2007,IRD:Human,USA,Kansas,06-Jul,A/Kansas/UR06-0068/2007,Pass
4,HA,CY030727,Yes,1728,H1N1,01/24/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0070/2007,Pass
4,HA,CY025429,Yes,1729,H1N1,01/24/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0072/2007,Pass
4,HA,CY025915,Yes,1726,H1N1,01/24/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0069/2007,Pass
4,HA,CY026811,Yes,1744,H1N1,01/24/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0071/2007,Pass
4,HA,EU199352,No,1698,H1N1,01/25/2007,IRD:Human,USA,California,06-Jul,A/California/04/2007,Pass
4,HA,CY027171,Yes,1748,H1N1,01/25/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0081/2007,Pass
4,HA,CY028451,Yes,1739,H1N1,01/25/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0073/2007,Pass
4,HA,EU199332,No,1698,H1N1,01/25/2007,IRD:Human,USA,Minnesota,06-Jul,A/Minnesota/02/2007,Pass
4,HA,EU199294,No,1698,H1N1,01/25/2007,IRD:Human,USA,Nebraska,06-Jul,A/Nebraska/01/2007,Pass
4,HA,CY027819,Yes,1735,H1N1,01/25/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0074/2007,Pass
4,HA,CY027827,Yes,1731,H1N1,01/25/2007,IRD:Human,USA,Virginia,06-Jul,A/Virginia/UR06-0075/2007,Pass
4,HA,CY028107,Yes,1740,H1N1,01/25/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0076/2007,Pass
4,HA,CY025627,Yes,1729,H1N1,01/26/2007,IRD:Human,USA,Mississippi,06-Jul,A/Mississippi/UR06-0086/2007,Pass
4,HA,CY025309,Yes,1743,H1N1,01/26/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0082/2007,Pass
4,HA,CY026891,Yes,1733,H1N1,01/26/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0078/2007,Pass
4,HA,CY026507,Yes,1743,H1N1,01/26/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0087/2007,Pass
4,HA,CY027667,Yes,1723,H1N1,01/26/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0088/2007,Pass
4,HA,CY028011,Yes,1720,H1N1,01/26/2007,IRD:Human,USA,Kansas,06-Jul,A/Kansas/UR06-0084/2007,Pass
4,HA,CY028075,Yes,1746,H1N1,01/26/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0080/2007,Pass
4,HA,CY027835,Yes,1734,H1N1,01/26/2007,IRD:Human,USA,Kansas,06-Jul,A/Kansas/UR06-0085/2007,Pass
4,HA,CY025795,Yes,1743,H1N1,01/26/2007,IRD:Human,USA,Vermont,06-Jul,A/Vermont/UR06-0089/2007,Pass
4,HA,CY025651,Yes,1736,H1N1,01/26/2007,IRD:Human,USA,Vermont,06-Jul,A/Vermont/UR06-0090/2007,Pass
4,HA,EU199353,No,1698,H1N1,01/27/2007,IRD:Human,USA,South Dakota,06-Jul,A/South Dakota/03/2007,Pass
4,HA,CY172711,Yes,1730,H1N1,01/27/2007,IRD:Human,USA,New York,06-Jul,A/New York/1074/2007,Pass
4,HA,CY027435,Yes,1727,H1N1,01/29/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0094/2007,Pass
4,HA,CY027379,Yes,1743,H1N1,01/29/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0119/2007,Pass
4,HA,CY027723,Yes,1726,H1N1,01/29/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0113/2007,Pass
4,HA,CY172591,Yes,1747,H1N1,01/29/2007,IRD:Human,USA,New York,06-Jul,A/New York/1056/2007,Pass
4,HA,CY027363,Yes,1728,H1N1,01/29/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0098/2007,Pass
4,HA,CY026971,Yes,1720,H1N1,01/29/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0095/2007,Pass
4,HA,CY026859,Yes,1725,H1N1,01/29/2007,IRD:Human,USA,North Carolina,06-Jul,A/North Carolina/UR06-0099/2007,Pass
4,HA,CY025995,Yes,1730,H1N1,01/29/2007,IRD:Human,USA,Virginia,06-Jul,A/Virginia/UR06-0109/2007,Pass
4,HA,CY028347,Yes,1728,H1N1,01/29/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0096/2007,Pass
4,HA,CY027243,Yes,1744,H1N1,01/29/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0124/2007,Pass
4,HA,EU516296,No,1698,H1N1,01/29/2007,IRD:Human,USA,California,06-Jul,A/California/02/2007,Pass
4,HA,CY027131,Yes,1740,H1N1,01/29/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0120/2007,Pass
4,HA,CY028067,Yes,1743,H1N1,01/29/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0093/2007,Pass
4,HA,EU199354,No,1698,H1N1,01/29/2007,IRD:Human,USA,California,06-Jul,A/California/05/2007,Pass
4,HA,CY025509,Yes,1743,H1N1,01/29/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0097/2007,Pass
4,HA,CY037783,Yes,1726,H1N1,01/29/2007,IRD:Human,USA,Tennessee,06-Jul,A/Tennessee/UR06-0106/2007(H1N1),Pass
4,HA,CY027995,No,1742,H1N1,01/29/2007,IRD:Human,USA,Virginia,06-Jul,A/Virginia/UR06-0092/2007,Pass
4,HA,CY026003,Yes,1742,H1N1,01/29/2007,IRD:Human,USA,Ohio,06-Jul,A/Ohio/UR06-0100/2007,Pass
4,HA,CY031546,Yes,1743,H1N1,01/29/2007,IRD:Human,USA,Virginia,06-Jul,A/Virginia/UR06-0107/2007,Pass
4,HA,CY026955,Yes,1728,H1N1,01/29/2007,IRD:Human,USA,Ohio,06-Jul,A/Ohio/UR06-0091/2007,Pass
4,HA,CY027443,Yes,1731,H1N1,01/30/2007,IRD:Human,USA,Ohio,06-Jul,A/Ohio/UR06-0121/2007,Pass
4,HA,CY026011,Yes,1739,H1N1,01/30/2007,IRD:Human,USA,Ohio,06-Jul,A/Ohio/UR06-0122/2007,Pass
4,HA,CY027851,Yes,1722,H1N1,01/30/2007,IRD:Human,USA,Kansas,06-Jul,A/Kansas/UR06-0143/2007,Pass
4,HA,CY030069,Yes,1718,H1N1,01/30/2007,IRD:Human,USA,Kansas,06-Jul,A/Kansas/UR06-0103/2007,Pass
4,HA,CY025461,Yes,1741,H1N1,01/30/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0129/2007,Pass
4,HA,CY026579,Yes,1730,H1N1,01/30/2007,IRD:Human,USA,Colorado,06-Jul,A/Colorado/UR06-0110/2007,Pass
4,HA,CY027275,Yes,1742,H1N1,01/30/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0116/2007,Pass
4,HA,CY025827,Yes,1742,H1N1,01/30/2007,IRD:Human,USA,Colorado,06-Jul,A/Colorado/UR06-0111/2007,Pass
4,HA,CY026875,Yes,1727,H1N1,01/30/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0123/2007,Pass
4,HA,EU199325,No,1698,H1N1,01/30/2007,IRD:Human,USA,Maryland,06-Jul,A/Maryland/01/2007,Pass
4,HA,CY027763,Yes,1741,H1N1,01/30/2007,IRD:Human,USA,Ohio,06-Jul,A/Ohio/UR06-0112/2007,Pass
4,HA,EU516109,No,1698,H1N1,01/30/2007,IRD:Human,USA,Georgia,06-Jul,A/Georgia/03/2007,Pass
4,HA,CY027755,Yes,1753,H1N1,01/30/2007,IRD:Human,USA,Virginia,06-Jul,A/Virginia/UR06-0114/2007,Flag-NCR
4,HA,CY027235,Yes,1725,H1N1,01/30/2007,IRD:Human,USA,Virginia,06-Jul,A/Virginia/UR06-0117/2007,Pass
4,HA,CY027035,Yes,1727,H1N1,01/30/2007,IRD:Human,USA,Kansas,06-Jul,A/Kansas/UR06-0104/2007,Pass
4,HA,CY027483,Yes,1722,H1N1,01/30/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0115/2007,Pass
4,HA,CY031551,Yes,1737,H1N1,01/30/2007,IRD:Human,USA,Kansas,06-Jul,A/Kansas/UR06-0102/2007,Pass
4,HA,CY027843,Yes,1723,H1N1,01/30/2007,IRD:Human,USA,California,06-Jul,A/California/UR06-0125/2007,Pass
4,HA,CY025979,Yes,1725,H1N1,01/31/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0128/2007,Pass
4,HA,CY026731,Yes,1744,H1N1,01/31/2007,IRD:Human,USA,New York,06-Jul,A/New York/UR06-0134/2007,Pass
4,HA,CY027659,Yes,1743,H1N1,01/31/2007,IRD:Human,USA,Texas,06-Jul,A/Texas/UR06-0133/2007,Pass
4,HA,CY025555,Yes,1728,H1N1,01/31/2007,IRD:Human,USA,Mississippi,06-Jul,A/Mississippi/UR06-0130/2007,Pass
4,HA,CY027699,Yes,1744,H1N1,01/31/2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0131/2007,Pass
4,HA,CY026867,Yes,1720,H1N1,01/31/2007,IRD:Human,USA,Kentucky,06-Jul,A/Kentucky/UR06-0127/2007,Pass
4,HA,EU199328,No,1698,H1N1,01/31/2007,IRD:Human,USA,Texas,06-Jul,A/Texas/05/2007,Pass
4,HA,EU516144,No,1698,H1N1,1-2-2007,IRD:Human,USA,Minnesota,06-Jul,A/Minnesota/23/2007,Pass
4,HA,EU100710,No,1698,H1N1,1-2-2007,IRD:Human,USA,Wisconsin,06-Jul,A/Wisconsin/01/2007,Pass
4,HA,CY027091,Yes,1731,H1N1,1-2-2007,IRD:Human,USA,Illinois,06-Jul,A/Illinois/UR06-0137/2007,Pass
4,HA,CY025619,Yes,1728,H1N1,1-2-2007,IRD:Human,USA,Mississippi,06-Jul,A/Mississippi/UR06-0142/2007,Pass
